,home,Score
0,Abahani Limited,172.0
1,Abbottabad Falcons,155.33333333333334
2,Abbottabad Region,198.0
3,Abbottabad Rhinos,186.0
4,Adelaide Strikers,183.33333333333334
5,Afghanistan,160.2608695652174
6,Andhra,133.8
7,Antigua,146.0
8,Antigua Hawksbills,
9,Antigua and Barbuda,153.0
10,Assam,147.0
11,Auckland,182.89473684210526
12,Australia,177.94117647058823
13,Australia A,176.0
14,Azad Jammu & Kashmir Region,123.0
15,Badureliya Sports Club,160.71428571428572
16,Bahawalpur Region,155.0
17,Bahawalpur Stags,153.66666666666666
18,Baluchistan,217.0
19,Bangladesh,155.85714285714286
20,Bangladesh A,166.0
21,Bangladesh XI,
22,Barbados,148.33333333333334
23,Barbados Tridents,166.66666666666666
24,Barisal Bulls,164.5
25,Barisal Burners,167.0
26,Barisal Division,
27,Baroda,157.93333333333334
28,Basnahira,152.0
29,Basnahira Cricket Dundee,129.0
30,Basnahira Greens,139.0
31,Basnahira North,117.0
32,Basnahira South,158.6
33,Bengal,160.95
34,Bermuda,164.0
35,Bloomfield Cricket and Athletic Club,141.5
36,Boland,157.0
37,Border,134.4
38,Brisbane Heat,185.8
39,Burgher Recreation Club,151.0
40,Canada,149.42857142857142
41,Canterbury,177.77777777777777
42,Cape Cobras,167.6818181818182
43,Central Districts,178.91666666666666
44,Centrals,128.0
45,Chennai Super Kings,173.65
46,Chilaw Marians Cricket Club,166.11111111111111
47,Chittagong Kings,173.6
48,Chittagong Vikings,190.0
49,Colombo Commandos,
50,Colombo Cricket Club,194.75
51,Colts Cricket Club,178.6
52,Combined Campuses and Colleges,130.0
53,Combined Provinces,
54,Comilla Victorians,155.2
55,Deccan Chargers,162.66666666666666
56,Delhi,147.42857142857142
57,Delhi Daredevils,182.0
58,Derbyshire,184.4
59,Dhaka Division,144.0
60,Dhaka Dynamites,149.0
61,Dhaka Gladiators,181.55555555555554
62,Dhaka Metropolis,171.0
63,Dolphins,173.64705882352942
64,Durham,176.73684210526315
65,Duronto Rajshahi,171.0
66,Eagles,172.85714285714286
67,Eastern Cape,
68,Eastern Province,156.0
69,Easterns,194.0
70,Easterns (Zimbabwe),155.0
71,England,163.16666666666666
72,England Lions,164.0
73,Essex,172.95454545454547
74,FATA Cheetas,
75,Faisalabad Wolves,168.73333333333332
76,Federally Administered Tribal Areas,139.5
77,Free State,168.5
78,Galle Cricket Club,109.0
79,Galle Guardians,
80,Gauteng,148.5
81,Glamorgan,165.9090909090909
82,Gloucestershire,180.63636363636363
83,Goa,158.8
84,Grenada,
85,Griqualand West,143.66666666666666
86,Gujarat,175.53846153846155
87,Gujarat Lions,
88,Guyana,134.0
89,Guyana Amazon Warriors,183.5
90,Habib Bank Limited,156.0
91,Hambantota Troopers,148.0
92,Hampshire,173.06060606060606
93,Haryana,161.9
94,Himachal Pradesh,137.5
95,Hobart Hurricanes,178.14285714285714
96,Hong Kong,170.0
97,Hyderabad (India),169.33333333333334
98,Hyderabad Hawks,157.66666666666666
99,Hyderabad Region,
100,India,167.14285714285714
101,India A,214.0
102,Ireland,150.84615384615384
103,Islamabad,151.0
104,Islamabad Leopards,139.75
105,Islamabad United,154.0
106,Italy,132.66666666666666
107,Jamaica,121.83333333333333
108,Jamaica Tallawahs,176.33333333333334
109,Jersey,
110,Jharkhand,165.75
111,Kandurata,186.0
112,Kandurata Maroons,141.5
113,Kandurata Warriors,155.0
114,Kandy Crusaders,
115,Karachi Blues,169.5
116,Karachi Kings,178.0
117,Karachi Region Blues,186.5
118,Karachi Whites,161.0
119,Karachi Zebras,169.0
120,Karnataka,153.2
121,Kent,161.95833333333334
122,Kenya,160.14285714285714
123,Kerala,147.0
124,Khan Research Laboratories,127.0
125,Khan Research Labs,131.0
126,Khulna Division,
127,Khulna Royal Bengals,176.0
128,Khulna Titans,133.0
129,Khyber Pakhtunkhwa,
130,Kings XI Punjab,178.61111111111111
131,Knights,175.25
132,Kochi Tuskers Kerala,156.0
133,Kolkata Knight Riders,168.78571428571428
134,Kurunegala Warriors,141.0
135,Kurunegala Youth Cricket Club,166.0
136,KwaZulu-Natal,146.5
137,KwaZulu-Natal Inland,149.8
138,Lahore Blues,
139,Lahore Eagles,182.83333333333334
140,Lahore Lions,177.82608695652175
141,Lahore Qalandars,179.0
142,Lahore Region Blues,
143,Lahore Region Whites,
144,Lahore Whites,162.66666666666666
145,Lancashire,171.6764705882353
146,Lankan Cricket Club,
147,Larkana Region,
148,Leicestershire,160.6818181818182
149,Lions,160.21052631578948
150,Madhya Pradesh,163.33333333333334
151,Maharashtra,154.2
152,Mashonaland Eagles,172.5
153,Matabeleland Tuskers,139.66666666666666
154,Melbourne Renegades,182.5
155,Melbourne Stars,171.6
156,Mid West Rhinos,149.5
157,Middlesex,168.6153846153846
158,Mohammedan Sporting Club,
159,Montserrat,
160,Moors Sports Club,168.66666666666666
161,Mountaineers,171.6
162,Multan Region,162.0
163,Multan Tigers,161.33333333333334
164,Mumbai,168.16666666666666
165,Mumbai Indians,179.12
166,Nagenahira Nagas,
167,Namibia,163.5
168,National Bank of Pakistan,
169,Nepal,
170,Netherlands,165.25
171,Nevis,
172,New South Wales,141.4
173,New Zealand,175.0909090909091
174,New Zealand A,227.0
175,Nondescripts Cricket Club,174.5
176,North Island,
177,North West,187.5
178,Northamptonshire,170.4090909090909
179,Northern Cape,166.0
180,Northern Districts,170.33333333333334
181,Northerns,140.25
182,Northerns (Zimbabwe),227.0
183,Nottinghamshire,178.17241379310346
184,Odisha,161.5
185,Orissa,147.5
186,Otago,190.0
187,Pakistan,178.0
188,Pakistan A,189.0
189,Pakistan International Airlines,
190,Pakistan Television,
191,Panadura Sports Club,169.0
192,Perth Scorchers,170.7
193,Peshawar,140.0
194,Peshawar Panthers,150.0
195,Peshawar Region,
196,Peshawar Zalmi,145.0
197,Police Sports Club,174.0
198,Port Qasim Authority,190.0
199,Prime Bank Cricket Club,174.0
200,Pune Warriors,169.0
201,Punjab,152.0
202,Queensland,182.75
203,Quetta Gladiators,
204,Ragama Cricket Club,193.5
205,Railways,173.0
206,Rajasthan,155.8
207,Rajasthan Royals,178.85714285714286
208,Rajshahi Division,140.0
209,Rangpur Riders,168.33333333333334
210,Rawalpindi Rams,163.66666666666666
211,Rising Pune Supergiants,
212,Royal Challengers Bangalore,185.0
213,Ruhuna,193.66666666666666
214,Ruhuna Royals,145.0
215,Saracens Sports Club,164.5
216,Saurashtra,144.0
217,Scotland,151.5
218,Sebastianites Cricket and Athletic Club,139.0
219,Services,
220,Sialkot Region,163.0
221,Sialkot Stallions,169.0
222,Sinhalese Sports Club,188.25
223,Somerset,195.23809523809524
224,South Africa,181.1818181818182
225,South Australia,165.33333333333334
226,South Western Districts,173.0
227,Southern Rocks,
228,Sri Lanka,169.3846153846154
229,Sri Lanka A,181.0
230,Sri Lanka Air Force Sports Club,178.0
231,Sri Lanka Army,
232,Sri Lanka Ports Authority Cricket Club,
233,St Kitts and Nevis Patriots,188.0
234,St Lucia Zouks,165.0
235,St Vincent,
236,Stanford Superstars,159.5
237,State Bank of Pakistan,129.33333333333334
238,Sui Northern Gas Pipelines Limited,
239,Sunrisers Hyderabad,169.375
240,Surrey,169.58333333333334
241,Sussex,180.33333333333334
242,Sydney Sixers,176.75
243,Sydney Thunder,183.0
244,Sylhet Royals,
245,Sylhet Super Stars,
246,Tamil Nadu,172.0
247,Tamil Union Cricket and Athletic Club,164.0
248,Tasmania,182.25
249,Titans,171.5
250,Trinbago Knight Riders,170.0
251,Trinidad & Tobago,207.0
252,Trinidad & Tobago Red Steel,160.85714285714286
253,Udarata Rulers,174.0
254,Uganda,
255,United Arab Emirates,145.0
256,Uthura Rudras,
257,Uthura Yellows,158.0
258,Uttar Pradesh,157.25
259,Uva Next,
260,Victoria,176.16666666666666
261,Warriors,151.0625
262,Warwickshire,171.15
263,Wayamba,
264,Wayamba United,156.0
265,Wellington,191.8
266,West Indies,150.75
267,West Indies A,152.0
268,Western Australia,184.25
269,Western Province,165.0
270,Western Troopers,165.0
271,Worcestershire,187.86666666666667
272,Yorkshire,184.23529411764707
273,Zimbabwe,161.0
274,Zimbabwe XI,165.0
